workload,case,phase,repeats,wall_seconds,rss_mib,verify_seconds
chromosome-bam-sparse,m128-t4096,fresh,3,3.074197417125106,10.5,2.075476875528693
chromosome-bam-sparse,m256-t16384,fresh,3,3.003531541675329,10.421875,1.984646124765277
chromosome-bam-sparse,m96-t128,fresh,3,3.0368640832602978,10.515625,2.014426457695663
chromosome-bam-sparse,oracle,oracle,3,0.795659082941711,26.875,
window-bam-regions,m128-t4096,fresh,3,1.4891183329746127,10.71875,1.4465335002169013
window-bam-regions,m256-t16384,fresh,3,1.605819416232407,10.71875,1.550623208284378
window-bam-regions,m96-t128,fresh,3,1.651892582885921,9.71875,1.5713002495467663
window-bam-regions,oracle,oracle,3,0.3278563329949975,28.765625,
window-bam-regions,workers2,fresh,3,1.8403819594532251,19.28125,1.5613808743655682
window-bam-regions,workers8-cache,cold,3,1.686289249919355,54.171875,1.46739795897156
window-bam-regions,workers8-cache,persisted,3,0.05559095926582813,14.359375,0.021202290430665016
window-bam-regions,workers8-cache,resumed,3,1.5625174585729837,13.25,1.448032708838582
window-bam-sites,m128-t4096,fresh,3,1.8342117089778185,9.875,1.485204666852951
window-bam-sites,m256-t16384,fresh,3,1.6885185847058892,9.9375,1.5583153339102864
window-bam-sites,m96-t128,fresh,3,2.3217669585719705,10.03125,1.5552206672728062
window-bam-sites,oracle,oracle,3,0.6086702914908528,26.4375,
window-bam-sites,workers2,fresh,3,2.094530832953751,13.109375,1.4771177498623729
window-bam-sites,workers8-cache,cold,3,2.0170877082273364,17.40625,1.558760166168213
window-bam-sites,workers8-cache,persisted,3,0.04143787454813719,13.3125,0.011131583712995052
window-bam-sites,workers8-cache,resumed,3,1.6197608755901456,11.828125,1.5541185420006514
window-cram-regions,m128-t4096,fresh,3,1.6114046666771173,22.828125,1.4842222090810537
window-cram-regions,m256-t16384,fresh,3,1.565374375320971,22.71875,1.454232624731958
window-cram-regions,m96-t128,fresh,3,1.8104970417916775,21.484375,1.4528522081673145
window-cram-regions,oracle,oracle,3,0.4644637508317828,53.84375,
window-cram-regions,workers2,fresh,3,1.9785388745367527,43.078125,1.7072606245055795
window-cram-regions,workers8-cache,cold,3,1.9186121253296733,133.46875,1.7045905413106084
window-cram-regions,workers8-cache,persisted,3,0.059887791983783245,14.40625,0.024115207605063915
window-cram-regions,workers8-cache,resumed,3,1.822270542383194,13.78125,1.6980126248672605
window-cram-sites,m128-t4096,fresh,3,2.867322792299092,35.0,1.4893829999491572
window-cram-sites,m256-t16384,fresh,3,2.0291724586859345,31.046875,1.5560552077367902
window-cram-sites,m96-t128,fresh,3,6.194442541338503,36.390625,1.5741771245375276
window-cram-sites,oracle,oracle,3,4.267514958046377,51.078125,
window-cram-sites,workers2,fresh,3,2.54316645860672,56.765625,1.5484795421361923
window-cram-sites,workers8-cache,cold,3,2.012636332772672,118.96875,1.5486102076247334
window-cram-sites,workers8-cache,persisted,3,0.041521708481013775,13.40625,0.011169792152941227
window-cram-sites,workers8-cache,resumed,3,1.6178240422159433,12.3125,1.5538335414603353
